what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146217254
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146225611
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146225664
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146227080
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146228780
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146233567
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146238364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146252912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146256858
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1412146258068
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1412146261399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146263654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146264906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146265703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146285796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146320225
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146399877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1412146404342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146406654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146414863
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1412146450454
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146463722
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146463844
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1412146465913
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146465913
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146465937
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146465947
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146465958
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146465963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146473071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146476172
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146476233
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412146476283
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1412146488312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1412146489846
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146515244
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412146541269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412146545716
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1412146550155
