what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151467452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151474270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151481618
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151482502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151483734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151499843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1412151505164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412151604562
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412151605714
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151613204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151614206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151615315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151627687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151636834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151637981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151639031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151641995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151649497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151650344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151651812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151702384
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412151743552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151750631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151752033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151752828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151760696
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412151855466
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412151856884
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412151865168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1412151880744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151887940
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151888817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151889609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412151894000
